empty_arena,constant_1,avg_td_dif,avg_sub_att_dif,sig_str_dif,age_dif,reach_dif,height_dif,sub_dif,ko_dif,total_title_bout_dif,total_round_dif,loss_dif,win_dif,longest_win_streak_dif,win_streak_dif,lose_streak_dif,td_landed_dif,rev_bout,pass_bout,sub_attempts_bout,td_pct_bout,td_attempted_bout,td_landed_bout,tot_str_attempted_bout,tot_str_landed_bout,sig_str_pct_bout,sig_str_attempted_bout,sig_str_landed_bout,kd_bout,age,weight_lbs,reach_cms,height_cms,stance,wins,win_by_tko_doctor_stoppage,win_by_submission,win_by_ko/tko,win_by_decision_unanimous,win_by_decision_split,win_by_decision_majority,total_title_bouts,total_rounds_fought,losses,longest_win_streak,avg_td_pct,avg_td_landed,avg_sub_att,avg_sig_str_pct,avg_sig_str_landed,draw,current_win_streak,current_lose_streak,ev,odds,fighter,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,winner,title_bout,weight_class,gender,no_of_rounds,win_dum,tter_rank,win_prob,status
1.0,1.0,0.14,0.6,-1.58,-0.0,2.54,7.62,1.0,-0.0,-0.0,-3.0,-1.0,-0.0,-0.0,-0.0,-0.0,0.14,0.0,0.0,1.0,0.0,1.0,0.0,21.0,5.0,0.23,21.0,5.0,0.0,27.0,115.0,160.02,162.56,Orthodox,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,2.0,0.08,0.46,0.9,0.32,3.24,0.0,0.0,1.0,23.80952381,-420.0,Mackenzie Dern,SUB,Kneebar,1.0,2:36,156.0,Red,False,Women's Strawweight,FEMALE,3.0,1,,80.76923076923077,favorite
1.0,1.0,-0.67,-0.0,5.9,2.0,12.7,10.16,-0.0,-0.0,-0.0,-6.0,-2.0,-0.0,-0.0,1.0,-1.0,-0.67,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,0.58,24.0,14.0,2.0,29.0,205.0,200.66,193.04,Southpaw,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.52,7.92,0.0,1.0,0.0,85.47008547,-117.0,Jamahal Hill,KO/TKO,Knee,1.0,1:51,111.0,Red,False,Light Heavyweight,MALE,3.0,1,,53.91705069124424,favorite
1.0,1.0,4.14,1.2,3.49,6.0,-5.08,-5.08,1.0,-0.0,1.0,31.0,8.0,4.0,2.0,-0.0,2.0,4.14,1.0,2.0,0.0,0.4,10.0,4.0,55.0,40.0,0.53,32.0,17.0,0.0,33.0,125.0,167.64,170.18,Southpaw,4.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,31.0,8.0,2.0,0.57,4.14,1.2,0.46,3.49,0.0,0.0,2.0,61.72839506,-162.0,Tim Elliott,SUB,Arm Triangle,2.0,3:18,498.0,Blue,False,Flyweight,MALE,3.0,0,,61.832061068702295,favorite
1.0,1.0,0.25,1.5,0.83,-1.0,12.7,7.62,2.0,3.0,-0.0,21.0,5.0,5.0,2.0,1.0,-1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,43.0,18.0,0.41,43.0,18.0,0.0,28.0,135.0,185.42,177.8,Orthodox,7.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,30.0,6.0,4.0,0.34,1.65,2.1,0.46,4.22,0.0,1.0,0.0,230.0,230.0,Louis Smolka,SUB,Guillotine Choke,1.0,3:03,183.0,Blue,False,Bantamweight,MALE,3.0,0,,30.303030303030305,underdog
1.0,1.0,0.38,-0.0,-1.19,-0.0,-7.62,5.08,-0.0,-0.0,-0.0,-1.0,-1.0,1.0,1.0,2.0,-1.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,94.0,60.0,0.63,94.0,60.0,2.0,29.0,145.0,170.18,175.26,Orthodox,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,2.0,0.33,0.38,0.0,0.55,3.65,0.0,2.0,0.0,90.90909091,-110.0,Chris Gutierrez,KO/TKO,Kick,2.0,4:27,567.0,Red,False,Featherweight,MALE,3.0,1,,52.38095238095239,favorite
1.0,1.0,1.08,0.7,0.69,3.0,7.62,-2.54,-0.0,-0.0,3.0,54.0,8.0,26.0,8.0,1.0,-1.0,1.0799999999999998,0.0,3.0,0.0,1.0,1.0,1.0,115.0,97.0,0.8,85.0,68.0,1.0,39.0,265.0,203.2,193.04,Orthodox,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,76.0,15.0,11.0,0.54,1.4,0.9,0.63,3.66,0.0,1.0,0.0,135.0,135.0,Alistair Overeem,KO/TKO,Punches,2.0,3:00,480.0,Red,False,Heavyweight,MALE,5.0,1,,42.5531914893617,underdog
1.0,1.0,-1.32,0.5,2.18,-0.0,-5.08,2.54,-0.0,-0.0,-0.0,13.0,2.0,3.0,1.0,1.0,-3.0,-1.3199999999999998,0.0,0.0,2.0,0.0,0.0,0.0,24.0,18.0,0.5,12.0,6.0,0.0,33.0,125.0,170.18,170.18,Orthodox,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,6.0,2.0,0.3,0.34,0.7,0.38,4.72,0.0,1.0,0.0,54.05405405,-185.0,Cortney Casey,SUB,Armbar,1.0,3:36,216.0,Red,False,Women's Flyweight,FEMALE,3.0,1,,64.91228070175438,favorite
1.0,1.0,2.9,2.9,0.25,-1.0,-2.54,-10.16,-0.0,-0.0,-0.0,-3.0,-2.0,1.0,1.0,1.0,-2.0,2.9,0.0,2.0,1.0,1.0,2.0,2.0,65.0,45.0,0.61,52.0,32.0,0.0,27.0,246.0,203.2,187.96,Orthodox,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9,2.9,0.56,4.44,0.0,1.0,0.0,86.95652174,-115.0,Rodrigo Nascimento,SUB,Rear Naked Choke,2.0,2:05,425.0,Red,False,Heavyweight,MALE,3.0,1,,53.48837209302325,favorite
1.0,1.0,-1.59,-0.2,-0.35,-9.0,-0.0,5.08,-3.0,-1.0,-0.0,-9.0,-0.0,-6.0,-5.0,-2.0,-0.0,-1.59,0.0,0.0,0.0,0.33,3.0,1.0,212.0,87.0,0.4,210.0,86.0,0.0,31.0,205.0,193.04,193.04,Orthodox,10.0,0.0,3.0,6.0,1.0,0.0,0.0,1.0,37.0,6.0,3.0,0.26,0.41,0.8,0.47,3.06,0.0,1.0,0.0,57.14285714,-175.0,Anthony Smith,KO/TKO,Punches,5.0,1:04,1264.0,Blue,False,Light Heavyweight,MALE,5.0,0,,63.63636363636363,favorite
1.0,1.0,0.57,-0.1,-1.44,-4.0,5.08,2.54,-1.0,-4.0,-0.0,-19.0,-4.0,-6.0,-1.0,-1.0,-0.0,0.5700000000000001,0.0,0.0,0.0,0.6,5.0,3.0,115.0,41.0,0.31,108.0,34.0,0.0,27.0,155.0,182.88,175.26,Orthodox,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,9.0,1.0,2.0,0.3,1.52,0.0,0.41,3.07,0.0,1.0,0.0,100.0,100.0,Alexander Hernandez,KO/TKO,Punches,2.0,4:25,565.0,Blue,False,Lightweight,MALE,3.0,0,,50.0,underdog
